MAKE/MODEL	VOL	HP	MPG    SP        WT
GM/GeoMetroXF1	89	49	65.4	96	17.5
GM/GeoMetro	            	92	55	56.0	97	20.0
GM/GeoMetroLSI	92	55	55.9	97	20.0
Suzuki/Swift	            	92	70	49.0	105	20.0
Daihatsu/Charade	92	53	46.5	96	20.0
GM/GeoSprintTurbo	89	70	46.2	105	20.0
GM/GeoSprint             	92	55	45.4	97	20.0
Honda/CivicCRXHF	50	62	59.2	98	22.5
Honda/CivicCRXHF	50	62	53.3	98	22.5
Daihatsu/Charade	94	80	43.4	107	22.5
Subaru/Justy	            	89	73	41.1	103	22.5
Honda/CivicCRX	50	92	40.9	113	22.5
Honda/Civic        	99	92	40.9	113	22.5
Subaru/Justy	            	89	73	40.4	103	22.5
Subaru/Justy            	89	66	39.6	100	22.5
Subaru/Justy4wd	89	73	39.3	103	22.5
Toyota/Tercel	            	91	78	38.9	106	22.5
Honda/CivicCRX	50	92	38.8	113	22.5
Toyota/Tercel            	91	78	38.2	106	22.5
Ford/Escort	          	103	90	42.2	109	25.0
Honda/Civic	            	99	92	40.9	110	25.0
Pontiac/LeMans         	107	74	40.7	101	25.0
Isuzu/Stylus	           	101	95	40.0	111	25.0
Dodge/Colt            	96	81	39.3	105	25.0
GM/GeoStorm           	89	95	38.8	111	25.0
Honda/CivicCRX	50	92	38.4	110	25.0
Honda/CivicWagon   	117	92	38.4	110	25.0
Honda/Civic	             	99	92	38.4	110	25.0
Subaru/Loyale            	102	90	29.5	109	25.0
Volks/JettaDiesel        	104	52	46.9	90	27.5
Mazda/323Protege	107	103	36.3	112	27.5
Ford/EscortWagon	114	84	36.1	103	27.5
Ford/Escort	            	101	84	36.1	103	27.5
GM/GeoPrism               	97	102	35.4	111	27.5
Toyota/Corolla	            	113	102	35.3	111	27.5
Eagle/Summit   		101	81	35.1	102	27.5
Nissan/CentraCoupe   	98	90	35.1	106	27.5
Nissan/CentraWagon  	88	90	35.0	106	27.5
Toyota/Celica                	86	102	33.2	109	30.0
Toyota/Celica	              	86	102	32.9	109	30.0
Toyota/Corolla	              	92	130	32.3	120	30.0
Chevrolet/Corsica	113	95	32.2	106	30.0
Chevrolet/Beretta	106	95	32.2	106	30.0
Toyota/Corolla              	92	102	32.2	109	30.0
Pontiac/SunbirdConv  	88	95	32.2	106	30.0
Dodge/Shadow		102	93	31.5	105	30.0
Dodge/Daytona  	99	100	31.5	108	30.0
Eagle/Spirit             	111	100	31.4	108	30.0
Ford/Tempo	            	103	98	31.4	107	30.0
ToyotaCelica	              	86	130	31.2	120	30.0
ToyotaCamry	             	101	115	33.7	109	35.0
ToyotaCamry	             	101	115	32.6	109	35.0
ToyotaCamry	             	101	115	31.3	109	35.0
Toyota/CamryWagon 	124	115	31.3	109	35.0
Olds/CutlassSup 	113	180	30.4	133	35.0
Olds/CutlassSup 	113	160	28.9	125	35.0
Saab/9000	             	124	130	28.0	115	35.0
Ford/Mustang                 	92	96	28.0	102	35.0
Toyota/Camry	             	101	115	28.0	109	35.0
Chrysler/LebaronConv  	94	100	28.0	104	35.0
Dodge/Dynasty	 	115	100	28.0	105	35.0
Volvo/740	             	111	145	27.7	120	35.0
